dirname,filename,filename_abb,state_id,state_name,district_id,district_name
~/iec/pc01/district_handbooks/,DH_09_2001_ETA_VOL-02.pdf,ETA_VOL-02,9,uttar pradesh,17,etah
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_ETA_VOL-02_EB.pdf,ETA_VOL-02_EB,9,uttar pradesh,17,etah
~/iec/pc01/district_handbooks/,DH_09_2001_ETW.pdf,ETW,9,uttar pradesh,31,etawah
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_ETW_EB.pdf,ETW_EB,9,uttar pradesh,31,etawah
~/iec/pc01/district_handbooks/,DH_09_2001_FAR.pdf,FAR,9,uttar pradesh,29,farrukhabad
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_FAR_EB.pdf,FAR_EB,9,uttar pradesh,29,farrukhabad
~/iec/pc01/district_handbooks/,DH_09_2001_FRO.pdf,FRO,9,uttar pradesh,16,firozabad
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_FRO_EB.pdf,FRO_EB,9,uttar pradesh,16,firozabad
~/iec/pc01/district_handbooks/,DH_09_2001_GAU.pdf,GAU,9,uttar pradesh,10,gautam buddha nagar
~/iec/pc01/district_handbooks/,DH_09_2001_GHA.pdf,GHA,9,uttar pradesh,65,ghazipur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_GHA_EB.pdf,GHA_EB,9,uttar pradesh,65,ghazipur
~/iec/pc01/district_handbooks/,DH_09_2001_GKP.pdf,GKP,9,uttar pradesh,58,gorakhpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_GKP_EB.pdf,GKP_EB,9,uttar pradesh,58,gorakhpur
~/iec/pc01/district_handbooks/,DH_09_2001_GOD_VOL-01.pdf,GOD_VOL-01,9,uttar pradesh,53,gonda
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_GOD_VOL-01_EB.pdf,GOD_VOL-01_EB,9,uttar pradesh,53,gonda
~/iec/pc01/district_handbooks/,DH_09_2001_GOD_VOL-02.pdf,GOD_VOL-02,9,uttar pradesh,53,gonda
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_GOD_VOL-02_EB.pdf,GOD_VOL-02_EB,9,uttar pradesh,53,gonda
~/iec/pc01/district_handbooks/,DH_09_2001_HAM.pdf,HAM,9,uttar pradesh,38,hamirpur
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_HAM_EB.pdf,HAM_EB,9,uttar pradesh,38,hamirpur
~/iec/pc01/district_handbooks/,DH_09_2001_HAR_VOL-01.pdf,HAR_VOL-01,9,uttar pradesh,25,hardoi
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_HAR_VOL-01_EB.pdf,HAR_VOL-01_EB,9,uttar pradesh,25,hardoi
~/iec/pc01/district_handbooks/,DH_09_2001_HAR_VOL-02.pdf,HAR_VOL-02,9,uttar pradesh,25,hardoi
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_HAR_VOL-02_EB.pdf,HAR_VOL-02_EB,9,uttar pradesh,25,hardoi
~/iec/pc01/district_handbooks/,DH_09_2001_HAT.pdf,HAT,9,uttar pradesh,13,hathras
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_HAT_EB.pdf,HAT_EB,9,uttar pradesh,13,hathras
~/iec/pc01/district_handbooks/,DH_09_2001_JAL.pdf,JAL,9,uttar pradesh,35,jalaun
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_JAL_EB.pdf,JAL_EB,9,uttar pradesh,35,jalaun
~/iec/pc01/district_handbooks/,DH_09_2001_JHA.pdf,JHA,9,uttar pradesh,36,jhansi
~/iec/pc01/district_handbooks/,DH_09_2001_JYO.pdf,JYO,9,uttar pradesh,6,jyotiba phule nagar
~/iec/pc01/district_handbooks/,DH_09_2001_KAN.pdf,KAN,9,uttar pradesh,30,kannauj
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_KAN_EB.pdf,KAN_EB,9,uttar pradesh,30,kannauj
~/iec/pc01/district_handbooks/,DH_09_2001_KAU.pdf,KAU,9,uttar pradesh,44,kaushambi
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_KAU_EB.pdf,KAU_EB,9,uttar pradesh,44,kaushambi
~/iec/pc01/district_handbooks/,DH_09_2001_KDE.pdf,KDE,9,uttar pradesh,33,kanpur dehat
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_KDE_EB.pdf,KDE_EB,9,uttar pradesh,33,kanpur dehat
~/iec/pc01/district_handbooks/,DH_09_2001_KNR.pdf,KNR,9,uttar pradesh,34,kanpur nagar
~/iec/pc01/district_handbooks//eb_table_extracts,DH_09_2001_KNR_EB.pdf,KNR_EB,9,uttar pradesh,34,kanpur nagar
