input_pdf_name,output_csv_name,error_flag,recreate_flag
DH_28_2001_VIS_EB.pdf,DH_28_2001_VIS_EB.csv,0,0
DH_29_2001_CHM_EB.pdf,DH_29_2001_CHM_EB.csv,0,0
DH_29_2001_HAV_EB.pdf,DH_29_2001_HAV_EB.csv,0,0
DH_10_2001_BHA_EB.pdf,DH_10_2001_BHA_EB.csv,0,0
DH_12_2001_TAW_EB.pdf,DH_12_2001_TAW_EB.csv,0,0
DH_18_2001_DHE_EB.pdf,DH_18_2001_DHE_EB.csv,0,0
DH_23_2001_KAT_EB.pdf,DH_23_2001_KAT_EB.csv,0,0
DH_08_2001_JOD_EB.pdf,DH_08_2001_JOD_EB.csv,0,0
DH_10_2001_SUP_EB.pdf,DH_10_2001_SUP_EB.csv,0,0
DH_09_2001_BAG_EB.pdf,DH_09_2001_BAG_EB.csv,0,0
DH_09_2001_PRA_EB.pdf,DH_09_2001_PRA_EB.csv,0,0
DH_30_2001_NGOA_EB.pdf,DH_30_2001_NGOA_EB.csv,0,0
DH_19_2001_DDIN_EB.pdf,DH_19_2001_DDIN_EB.csv,0,0
DH_10_2001_VAI_EB.pdf,DH_10_2001_VAI_EB.csv,0,0
DH_27_2001_THA_EB.pdf,DH_27_2001_THA_EB.csv,0,0
DH_09_2001_BLA_VOL-02_EB.pdf,DH_09_2001_BLA_VOL-02_EB.csv,0,0
DH_23_2001_MAN_EB.pdf,DH_23_2001_MAN_EB.csv,0,0
DH_20_2001_CH_EB.pdf,DH_20_2001_CH_EB.csv,0,0
DH_23_2001_HAR_EB.pdf,DH_23_2001_HAR_EB.csv,0,0
DH_04_2001_CHA_EB.pdf,DH_04_2001_CHA_EB.csv,0,0
DH_23_2001_SHE_EB.pdf,DH_23_2001_SHE_EB.csv,0,0
DH_23_2001_MOR_EB.pdf,DH_23_2001_MOR_EB.csv,0,0
DH_23_2001_BET_EB.pdf,DH_23_2001_BET_EB.csv,0,0
DH_09_2001_BAS_VOL-02_EB.pdf,DH_09_2001_BAS_VOL-02_EB.csv,0,0
DH_09_2001_SON_EB.pdf,DH_09_2001_SON_EB.csv,0,0
DH_29_2001_UDU_EB.pdf,DH_29_2001_UDU_EB.csv,0,0
DH_29_2001_KOL_EB.pdf,DH_29_2001_KOL_EB.csv,0,0
DH_19_2001_BRD_EB.pdf,DH_19_2001_BRD_EB.csv,0,0
DH_20_2001_SAH_EB.pdf,DH_20_2001_SAH_EB.csv,0,0
DH_24_2001_KHE_EB.pdf,DH_24_2001_KHE_EB.csv,0,0
DH_10_2001_JEH_EB.pdf,DH_10_2001_JEH_EB.csv,0,0
DH_23_2001_BHO_EB.pdf,DH_23_2001_BHO_EB.csv,0,0
DH_03_2001_FAR_EB.pdf,DH_03_2001_FAR_EB.csv,0,0
DH_09_2001_FAR_EB.pdf,DH_09_2001_FAR_EB.csv,0,0
DH_09_2001_KDE_EB.pdf,DH_09_2001_KDE_EB.csv,0,0
DH_24_2001_VAL_EB.pdf,DH_24_2001_VAL_EB.csv,0,0
DH_23_2001_WNIM_EB.pdf,DH_23_2001_WNIM_EB.csv,0,0
DH_09_2001_MOR_VOL-02_EB.pdf,DH_09_2001_MOR_VOL-02_EB.csv,0,0
DH_18_2001_BON_EB.pdf,DH_18_2001_BON_EB.csv,0,0
DH_08_2001_BAR_EB.pdf,DH_08_2001_BAR_EB.csv,0,0
DH_33_2001_CUD_EB.pdf,DH_33_2001_CUD_EB.csv,0,0
DH_18_2001_GOA_EB.pdf,DH_18_2001_GOA_EB.csv,0,0
DH_09_2001_SKA_EB.pdf,DH_09_2001_SKA_EB.csv,0,0
DH_23_2001_DIN_EB.pdf,DH_23_2001_DIN_EB.csv,0,0
DH_19_2001_MAL_EB.pdf,DH_19_2001_MAL_EB.csv,0,0
DH_24_2001_PAN_EB.pdf,DH_24_2001_PAN_EB.csv,0,0
DH_23_2001_BAR_EB.pdf,DH_23_2001_BAR_EB.csv,0,0
DH_18_2001_NAG_EB.pdf,DH_18_2001_NAG_EB.csv,0,0
DH_29_2001_BANR_EB.pdf,DH_29_2001_BANR_EB.csv,0,0
DH_10_2001_DAR_EB.pdf,DH_10_2001_DAR_EB.csv,0,0
DH_33_2001_THO_EB.pdf,DH_33_2001_THO_EB.csv,0,0
DH_29_2001_HAS_EB.pdf,DH_29_2001_HAS_EB.csv,0,0
DH_10_2001_GOP_EB.pdf,DH_10_2001_GOP_EB.csv,0,0
DH_18_2001_HAI_EB.pdf,DH_18_2001_HAI_EB.csv,0,0
DH_10_2001_BUX_EB.pdf,DH_10_2001_BUX_EB.csv,0,0
DH_12_2001_TIR_EB.pdf,DH_12_2001_TIR_EB.csv,0,0
DH_17_2001_EGAR_EB.pdf,DH_17_2001_EGAR_EB.csv,0,0
DH_23_2001_RAT_EB.pdf,DH_23_2001_RAT_EB.csv,0,0
DH_14_2001_THO_EB.pdf,DH_14_2001_THO_EB.csv,0,0
DH_27_2001_GON_EB.pdf,DH_27_2001_GON_EB.csv,0,0
DH_09_2001_ETW_EB.pdf,DH_09_2001_ETW_EB.csv,0,0
DH_24_2001_SRT_EB.pdf,DH_24_2001_SRT_EB.csv,0,0
DH_29_2001_BEL_EB.pdf,DH_29_2001_BEL_EB.csv,0,0
DH_09_2001_SHA_VOL-02_EB.pdf,DH_09_2001_SHA_VOL-02_EB.csv,0,0
DH_29_2001_MYS_EB.pdf,DH_29_2001_MYS_EB.csv,0,0
DH_09_2001_SID_EB.pdf,DH_09_2001_SID_EB.csv,0,0
